perl-time-duration 1:1.21-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
perl-xml-parser 2.58-1
phonon-qt6 4.12.0-6
phonon-qt6-vlc 0.12.0-6
picom 13-2
pikaur 1.33.3-1
pinentry 1.3.2-2
pipewire 1:1.6.4-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
plocate 1.1.24-1
polkit 127-3
polybar 3.7.2-2
poppler 26.04.0-1
poppler-data 0.4.12-2
poppler-glib 26.04.0-1
poppler-qt6 26.04.0-1
popt 1.19-2
portaudio 1:19.7.0-4
procps-ng 4.0.6-1
psmisc 23.7-2
pulseaudio 17.0+r98+gb096704c0-1
pulseaudio-alsa 1:1.2.12-5
pulseaudio-bluetooth 17.0+r98+gb096704c0-1
purpose 6.26.0-2
pyalpm 0.11.1-1
python 3.14.4-1
python-cairo 1.29.0-2
python-certifi 2026.04.22-1
python-charset-normalizer 3.4.7-1
python-idna 3.13-1
python-requests 2.33.1-1
python-urllib3 2.7.0-1
qalculate-gtk 5.10.0-1
qca-qt6 2.3.10-6
qt6-5compat 6.11.0-1
qt6-base 6.11.0-4
qt6-declarative 6.11.0-4
qt6-multimedia 6.11.0-1
qt6-multimedia-ffmpeg 6.11.0-1
qt6-positioning 6.11.0-1
qt6-shadertools 6.11.0-1
qt6-speech 6.11.0-1
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
qt6-webchannel 6.11.0-1
qt6-webengine 6.11.0-5
radeontop 1.4-3
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
redshift 1.12-15
rofi 2.0.0-1
rofi-calc 2.5.1-1
rtkit 0.14-1
rubberband 4.0.0-2
run-parts 5.23.2-1
sbc 2.2-1
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
sed 4.10-1
semver 7.8.0-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
signon-kwallet-extension 26.04.1-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-3
signond 8.61-4
simdjson 1:4.6.3-1
slang 2.3.3-4
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
solid 6.26.0-1
sonnet 6.26.0-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.53.1-1
srt 1.5.5-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
sxhkd 0.6.3-1
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
taglib 2.2.1-1
tar 1.35-2
tdb 1.4.15-1
tesseract 5.5.2-1
tesseract-data-osd 2:4.1.0-5
tesseract-data-spa 2:4.1.0-5
testdisk 7.2-2
texinfo 7.3-1
threadweaver 6.26.0-1
tinysparql 3.11.1-1
tlp 1.10.0-1
tpm2-tss 4.1.3-1
tree 2.3.2-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
twolame 0.4.0-4
typora 1.13.4-1
tzdata 2026b-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unclutter 1:1.6-4
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 75-2
vid.stab 1.1.1-2
vim 9.2.0450-1
vim-runtime 9.2.0450-1
vlc-plugin-a52dec 3.0.22-3
vlc-plugin-alsa 3.0.22-3
vlc-plugin-archive 3.0.22-3
vlc-plugin-dav1d 3.0.22-3
vlc-plugin-dbus 3.0.22-3
vlc-plugin-dbus-screensaver 3.0.22-3
vlc-plugin-faad2 3.0.22-3
vlc-plugin-flac 3.0.22-3
vlc-plugin-gnutls 3.0.22-3
vlc-plugin-inflate 3.0.22-3
vlc-plugin-journal 3.0.22-3
vlc-plugin-jpeg 3.0.22-3
vlc-plugin-mpg123 3.0.22-3
vlc-plugin-ogg 3.0.22-3
vlc-plugin-opus 3.0.22-3
vlc-plugin-png 3.0.22-3
vlc-plugin-shout 3.0.22-3
vlc-plugin-speex 3.0.22-3
vlc-plugin-tag 3.0.22-3
vlc-plugin-theora 3.0.22-3
vlc-plugin-twolame 3.0.22-3
vlc-plugin-vorbis 3.0.22-3
vlc-plugin-vpx 3.0.22-3
vlc-plugin-xml 3.0.22-3
vlc-plugins-base 3.0.22-3
vmaf 3.1.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.341.0-1
wayland 1.25.0-1
webkit2gtk-4.1 2.52.3-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireless-regdb 2026.03.18-1
wireless_tools 30.pre9-5
wmctrl 1.07-6
woff2 1.0.2-6
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xbindkeys 1.8.7-5
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-vesa 2.6.0-3
xkeyboard-config 2.47-1
xob 0.3-1
xob-debug 0.3-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.6-1
xorg-fonts-alias-75dpi 1.0.6-1
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-1
xorg-server 21.1.22-1
xorg-server-common 21.1.22-1
xorg-server-devel 21.1.22-1
xorg-server-src 21.1.22-1
xorg-server-xephyr 21.1.22-1
xorg-server-xnest 21.1.22-1
xorg-server-xvfb 21.1.22-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.5-1
xorg-smproxy 1.0.8-1
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-2
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-2
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-2
xorg-xprop 1.2.8-1
